route,origin,destination,track,count,count_cancelled,team
MAA-AMD,MAA,AMD,MAA,1,0,CSK
AMD-MAA,AMD,MAA,AMD,,0,CSK
MAA-BOM,MAA,BOM,MAA,,9,CSK
BOM-MAA,BOM,MAA,BOM,,1,CSK
MAA-BLR,MAA,BLR,MAA,,0,CSK
BLR-MAA,BLR,MAA,BLR,,0,CSK
MAA-CCU,MAA,CCU,MAA,,0,CSK
CCU-JAI,CCU,JAI,CCU,,2,CSK
JAI-MAA,JAI,MAA,JAI,,0,CSK
MAA-LKO,MAA,LKO,MAA,,0,CSK
LKO-MAA,LKO,MAA,LKO,,2,CSK
MAA-MAA,MAA,MAA,MAA,,0,CSK
MAA-MAA,MAA,MAA,MAA,,0,CSK
MAA-DEL,MAA,DEL,MAA,,2,CSK
,,,DEL,,,CSK
LKO-LKO,LKO,LKO,LKO,2,,LSG
LKO-MAA,LKO,MAA,LKO,,,LSG
MAA-LKO,MAA,LKO,MAA,,,LSG
LKO-BLR,LKO,BLR,LKO,,,LSG
BLR-LKO,BLR,LKO,BLR,,,LSG
LKO-JAI,LKO,JAI,LKO,,,LSG
JAI-LKO,JAI,LKO,JAI,,,LSG
LKO-IXC,LKO,IXC,LKO,,,LSG
LKO-LKO,LKO,LKO,IXC,,,LSG
LKO-LKO,LKO,LKO,LKO,,,LSG
LKO-AMD,LKO,AMD,LKO,,,LSG
AMD-HYD,AMD,HYD,AMD,,,LSG
HYD-LKO,HYD,LKO,HYD,,,LSG
LKO-CCU,LKO,CCU,LKO,,,LSG
,,,CCU,,,LSG
AMD-AMD,AMD,AMD,AMD,3,,GT
AMD-DEL,AMD,DEL,AMD,,,GT
DEL-AMD,DEL,AMD,DEL,,,GT
AMD-IXC,AMD,IXC,AMD,,,GT
IXC-AMD,IXC,AMD,IXC,,,GT
AMD-LKO,AMD,LKO,AMD,,,GT
LKO-AMD,LKO,AMD,LKO,,,GT
AMD-CCU,AMD,CCU,AMD,,,GT
CCU-AMD,CCU,AMD,CCU,,,GT
AMD-JAI,AMD,JAI,AMD,,,GT
JAI-AMD,JAI,AMD,JAI,,,GT
AMD-BOM,AMD,BOM,AMD,,,GT
BOM-AMD,BOM,AMD,BOM,,,GT
AMD-BLR,AMD,BLR,AMD,,,GT
,,,BLR,,,GT
BOM-BLR,BOM,BLR,BOM,4,,MI
BLR-BOM,BLR,BOM,BLR,,,MI
BOM-DEL,BOM,DEL,BOM,,,MI
DEL-BOM,DEL,BOM,DEL,,,MI
BOM-HYD,BOM,HYD,BOM,,,MI
HYD-BOM,HYD,BOM,HYD,,,MI
BOM-AMD,BOM,AMD,BOM,,,MI
AMD-BOM,AMD,BOM,AMD,,,MI
BOM-IXC,BOM,IXC,BOM,,,MI
IXC-MAA,IXC,MAA,IXC,,,MI
MAA-BOM,MAA,BOM,MAA,,,MI
BOM-BOM,BOM,BOM,BOM,,,MI
BOM-BOM,BOM,BOM,BOM,,,MI
BOM-LKO,BOM,LKO,BOM,,,MI
LKO-BOM,LKO,BOM,LKO,,,MI
,,,BOM,,,MI
IXC-IXC,IXC,IXC,IXC,5,,PK
IXC-GAU,IXC,GAU,IXC,,,PK
GAU-HYD,GAU,HYD,GAU,,,PK
HYD-IXC,HYD,IXC,HYD,,,PK
IXC-LKO,IXC,LKO,IXC,,,PK
LKO-IXC,LKO,IXC,LKO,,,PK
IXC-BOM,IXC,BOM,IXC,,,PK
BOM-IXC,BOM,IXC,BOM,,,PK
IXC-MAA,IXC,MAA,IXC,,,PK
MAA-IXC,MAA,IXC,MAA,,,PK
IXC-CCU,IXC,CCU,IXC,,,PK
CCU-DEL,CCU,DEL,CCU,,,PK
DEL-DHM,DEL,DHM,DEL,,,PK
DHM-DHM,DHM,DHM,DHM,,,PK
,,,DHM,,,PK
DEL-LKO,DEL,LKO,DEL,6,,DC
LKO-DEL,LKO,DEL,LKO,,,DC
DEL-GAU,DEL,GAU,DEL,,,DC
GAU-DEL,GAU,DEL,GAU,,,DC
DEL-BLR,DEL,BLR,DEL,,,DC
BLR-DEL,BLR,DEL,BLR,,,DC
DEL-HYD,DEL,HYD,DEL,,,DC
HYD-DEL,HYD,DEL,HYD,,,DC
DEL-AMD,DEL,AMD,DEL,,,DC
AMD-DEL,AMD,DEL,AMD,,,DC
DEL-MAA,DEL,MAA,DEL,,,DC
MAA-DEL,MAA,DEL,MAA,,,DC
DEL-DHM,DEL,DHM,DEL,,,DC
DHM-DEL,DHM,DEL,DHM,,,DC
,,,DEL,,,DC
CCU-IXC,CCU,IXC,CCU,7,,KKR
IXC-CCU,IXC,CCU,IXC,,,KKR
CCU-AMD,CCU,AMD,CCU,,,KKR
AMD-CCU,AMD,CCU,AMD,,,KKR
CCU-BOM,CCU,BOM,CCU,,,KKR
BOM-DEL,BOM,DEL,BOM,,,KKR
DEL-CCU,DEL,CCU,DEL,,,KKR
CCU-BLR,CCU,BLR,CCU,,,KKR
BLR-CCU,BLR,CCU,BLR,,,KKR
CCU-HYD,CCU,HYD,CCU,,,KKR
HYD-CCU,HYD,CCU,HYD,,,KKR
CCU-CCU,CCU,CCU,CCU,,,KKR
CCU-MAA,CCU,MAA,CCU,,,KKR
MAA-CCU,MAA,CCU,MAA,,,KKR
,,,CCU,,,KKR
JAI-HYD,JAI,HYD,JAI,8,,RR
HYD-GAU,HYD,GAU,HYD,,,RR
GAU-GAU,GAU,GAU,GAU,,,RR
GAU-MAA,GAU,MAA,GAU,,,RR
MAA-AMD,MAA,AMD,MAA,,,RR
AMD-JAI,AMD,JAI,AMD,,,RR
JAI-BLR,JAI,BLR,JAI,,,RR
BLR-JAI,BLR,JAI,BLR,,,RR
JAI-BOM,JAI,BOM,JAI,,,RR
BOM-JAI,BOM,JAI,BOM,,,RR
JAI-JAI,JAI,JAI,JAI,,,RR
JAI-CCU,JAI,CCU,JAI,,,RR
CCU-JAI,CCU,JAI,CCU,,,RR
JAI-DHM,JAI,DHM,JAI,,,RR
,,,DHM,,,RR
HYD-HYD,HYD,HYD,HYD,9,,SRH
HYD-LKO,HYD,LKO,HYD,,,SRH
LKO-HYD,LKO,HYD,LKO,,,SRH
HYD-CCU,HYD,CCU,HYD,,,SRH
CCU-HYD,CCU,HYD,CCU,,,SRH
HYD-MAA,HYD,MAA,HYD,,,SRH
MAA-HYD,MAA,HYD,MAA,,,SRH
HYD-DEL,HYD,DEL,HYD,,,SRH
DEL-HYD,DEL,HYD,DEL,,,SRH
HYD-JAI,HYD,JAI,HYD,,,SRH
JAI-HYD,JAI,HYD,JAI,,,SRH
HYD-AMD,HYD,AMD,HYD,,,SRH
AMD-HYD,AMD,HYD,AMD,,,SRH
HYD-BOM,HYD,BOM,HYD,,,SRH
,,,BOM,,,SRH
BLR-BLR,BLR,BLR,BLR,10,,RCB
BLR-CCU,BLR,CCU,BLR,,,RCB
CCU-BLR,CCU,BLR,CCU,,,RCB
BLR-BLR,BLR,BLR,BLR,,,RCB
BLR-BLR,BLR,BLR,BLR,,,RCB
BLR-IXC,BLR,IXC,BLR,,,RCB
IXC-BLR,IXC,BLR,IXC,,,RCB
BLR-BLR,BLR,BLR,BLR,,,RCB
BLR-LKO,BLR,LKO,BLR,,,RCB
LKO-DEL,LKO,DEL,LKO,,,RCB
DEL-BOM,DEL,BOM,DEL,,,RCB
BOM-JAI,BOM,JAI,BOM,,,RCB
JAI-HYD,JAI,HYD,JAI,,,RCB
HYD-BLR,HYD,BLR,HYD,,,RCB
,,,BLR,,,RCB
